Nation,NOC,Year,Sport,Event,Medal
Denmark,DEN,1964,Sailing,Sailing Mixed Three Person Keelboat,Gold
Denmark,DEN,1960,Sailing,Sailing Mixed 5.5 metres,Silver
France,FRA,1968,Fencing,"Fencing Men's Foil, Team",Gold
France,FRA,1972,Fencing,"Fencing Men's Foil, Team",Bronze
Italy,ITA,1960,Athletics,Athletics Men's 200 metres,Gold
UK,GBR,1912,Football,Football Men's Football,Gold
Australia,AUS,1960,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Australia,AUS,1964,Swimming,Swimming Men's 200 metres Butterfly,Gold
Australia,AUS,1964,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Denmark,DEN,1912,Football,Football Men's Football,Silver
France,FRA,1988,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver
Hungary,HUN,1912,Fencing,"Fencing Men's Sabre, Team",Gold
Hungary,HUN,1924,Fencing,"Fencing Men's Foil, Team",Bronze
Hungary,HUN,1924,Fencing,"Fencing Men's Sabre, Team",Silver
Sweden,SWE,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Italy,ITA,1908,Fencing,"Fencing Men's Sabre, Team",Silver
Italy,ITA,1924,Athletics,Athletics Men's Marathon,Silver
Italy,ITA,1964,Boxing,Boxing Men's Welterweight,Bronze
Italy,ITA,1906,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Italy,ITA,1984,Volleyball,Volleyball Men's Volleyball,Bronze
France,FRA,1972,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Germany,GDR,1976,Rowing,Rowing Men's Double Sculls,Bronze
France,FRA,1928,Equestrianism,"Equestrianism Men's Jumping, Individual",Silver
France,FRA,1900,Swimming,Swimming Men's 200 metres Team Swimming,Silver
Australia,AUS,1976,Sailing,Sailing Mixed One Person Dinghy,Bronze
USA,USA,1984,Sailing,Sailing Mixed One Person Dinghy,Silver
USA,USA,1996,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
USA,USA,1984,Volleyball,Volleyball Men's Volleyball,Gold
Russia,URS,1980,Rowing,Rowing Men's Coxed Fours,Silver
Hungary,HUN,1936,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
Netherlands,NED,2008,Sailing,Sailing Women's Three Person Keelboat,Silver
Romania,ROU,1984,Athletics,Athletics Women's 800 metres,Gold
Romania,ROU,1984,Athletics,"Athletics Women's 1,500 metres",Silver
Cameroon,CMR,1968,Boxing,Boxing Men's Welterweight,Silver
France,FRA,1968,Athletics,Athletics Women's 400 metres,Gold
USA,USA,1988,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
USA,USA,1988,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
Australia,AUS,1992,Hockey,Hockey Men's Hockey,Silver
Russia,URS,1956,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
Cuba,CUB,2004,Baseball,Baseball Men's Baseball,Gold
Cuba,CUB,1992,Fencing,"Fencing Men's Foil, Team",Silver
Switzerland,SUI,1936,Rowing,Rowing Men's Coxless Fours,Bronze
Switzerland,SUI,1936,Rowing,Rowing Men's Coxed Fours,Silver
France,FRA,2000,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Sweden,SWE,1972,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
France,FRA,1988,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
Italy,ITA,2004,Cycling,"Cycling Men's Road Race, Individual",Gold
UK,GBR,1912,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Netherlands,NED,1920,Sailing,Sailing Mixed 12 foot,Silver
Netherlands,NED,1964,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Canada,CAN,2016,Cycling,Cycling Women's Team Pursuit,Bronze
New Zealand,NZL,2008,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
New Zealand,NZL,2012,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
France,FRA,1948,Cycling,"Cycling Men's Road Race, Individual",Gold
France,FRA,1948,Cycling,"Cycling Men's Road Race, Team",Bronze
USA,USA,1904,Gymnastics,Gymnastics Men's Team All-Around,Silver
Germany,GDR,1980,Handball,Handball Men's Handball,Gold
Germany,GDR,1976,Athletics,Athletics Men's Shot Put,Gold
Germany,GDR,1980,Athletics,Athletics Men's Shot Put,Bronze
Germany,GER,1964,Athletics,Athletics Men's Hammer Throw,Bronze
USA,USA,2012,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold
Germany,FRG,1984,Swimming,Swimming Women's 200 metres Butterfly,Bronze
Germany,FRG,1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Turkey,TUR,1996,Boxing,Boxing Men's Middleweight,Silver
Ukraine,UKR,2004,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Bronze
Ukraine,UKR,2008,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Bronze
USA,USA,2004,Gymnastics,Gymnastics Women's Team All-Around,Silver
India,IND,1980,Hockey,Hockey Men's Hockey,Gold
China,CHN,1996,Gymnastics,Gymnastics Women's Uneven Bars,Silver
Italy,ITA,1992,Fencing,"Fencing Women's Foil, Team",Gold
Italy,ITA,2000,Fencing,"Fencing Women's Foil, Team",Gold
Italy,ITA,1964,Cycling,Cycling Men's Sprint,Silver
Italy,ITA,1964,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
Italy,ITA,1936,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Italy,ITA,1936,Sailing,Sailing Mixed 8 metres,Gold
Italy,ITA,1948,Art Competitions,"Art Competitions Mixed Music, Vocals",Bronze
Italy,ITA,1920,Weightlifting,Weightlifting Men's Middleweight,Silver
Italy,ITA,1912,Gymnastics,Gymnastics Men's Team All-Around,Gold
France,FRA,1956,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Switzerland,SUI,1952,Rowing,Rowing Men's Coxed Fours,Silver
USA,USA,1996,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Poland,POL,1992,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
Poland,POL,2000,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
USA,USA,1932,Sailing,Sailing Mixed 8 metres,Gold
Belarus,BLR,2004,Rowing,Rowing Women's Coxless Pairs,Bronze
Belarus,BLR,2008,Rowing,Rowing Women's Coxless Pairs,Bronze
Argentina,ARG,1928,Football,Football Men's Football,Silver
Morocco,MAR,2000,Athletics,Athletics Women's 400 metres Hurdles,Bronze
Norway,NOR,1912,Athletics,Athletics Men's Pentathlon,Gold
Germany,GER,1908,Swimming,Swimming Men's 100 metres Backstroke,Gold
Germany,GER,1960,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Germany,GER,2008,Hockey,Hockey Men's Hockey,Gold
Russia,URS,1964,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Russia,URS,1968,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
Russia,URS,1988,Basketball,Basketball Men's Basketball,Gold
Poland,POL,1980,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
Finland,FIN,1984,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
Canada,CAN,1996,Rowing,Rowing Women's Quadruple Sculls,Bronze
Netherlands,NED,1920,Football,Football Men's Football,Bronze
Latvia,LAT,1936,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
USA,USA,1952,Athletics,Athletics Men's Long Jump,Gold
USA,USA,1984,Boxing,Boxing Men's Super-Heavyweight,Gold
UK,GBR,1964,Athletics,Athletics Women's Long Jump,Gold
UK,GBR,1964,Athletics,Athletics Women's Pentathlon,Silver
UK,GBR,2016,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
Croatia,CRO,2016,Water Polo,Water Polo Men's Water Polo,Silver
Turkey,TUR,2000,Taekwondo,Taekwondo Women's Featherweight,Bronze
Ethiopia,ETH,1960,Athletics,Athletics Men's Marathon,Gold
Ethiopia,ETH,1964,Athletics,Athletics Men's Marathon,Gold
Bulgaria,BUL,1972,Weightlifting,Weightlifting Men's Middleweight,Gold
Kenya,KEN,1984,Boxing,Boxing Men's Flyweight,Bronze
France,FRA,2000,Basketball,Basketball Men's Basketball,Silver
USA,USA,1984,Gymnastics,Gymnastics Women's Team All-Around,Silver
Turkey,TUR,1960,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
USA,USA,2016,Gymnastics,Gymnastics Women's Individual All-Around,Gold
USA,USA,2016,Gymnastics,Gymnastics Women's Team All-Around,Gold
USA,USA,2016,Gymnastics,Gymnastics Women's Floor Exercise,Gold
USA,USA,2016,Gymnastics,Gymnastics Women's Horse Vault,Gold
USA,USA,2016,Gymnastics,Gymnastics Women's Balance Beam,Bronze
Turkey,TUR,1948,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
France,FRA,1900,Sailing,Sailing Mixed 10-20 Ton,Gold
USA,USA,1904,Athletics,Athletics Men's Standing Long Jump,Bronze
USA,USA,1908,Athletics,Athletics Men's Standing High Jump,Silver
India,IND,1972,Hockey,Hockey Men's Hockey,Bronze
USA,USA,1912,Shooting,"Shooting Men's Trap, Team",Gold
USA,USA,1904,Cycling,Cycling Men's 1/4 mile,Bronze
USA,USA,1904,Cycling,Cycling Men's 1/3 mile,Bronze
USA,USA,1904,Cycling,Cycling Men's 1/2 mile,Silver
USA,USA,1904,Cycling,Cycling Men's 1 mile,Bronze
Ukraine,UKR,2004,Rowing,Rowing Men's Quadruple Sculls,Bronze
Russia,URS,1988,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Russia,URS,1988,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Bulgaria,BUL,1960,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
Greece,GRE,2004,Diving,Diving Men's Synchronized Springboard,Gold
Netherlands,NED,1964,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Individual Olympic Athletes,IOA,1992,Shooting,"Shooting Women's Air Rifle, 10 metres",Bronze
Germany,GER,1928,Art Competitions,"Art Competitions Mixed Literature, Lyric Works",Silver
India,IND,2008,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
UK,GBR,2008,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
UK,GBR,1908,Sailing,Sailing Mixed 7 metres,Gold
Italy,ITA,1928,Fencing,"Fencing Men's Sabre, Individual",Bronze
USA,USA,1984,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
USA,USA,1988,Swimming,Swimming Men's 50 metres Freestyle,Gold
USA,USA,1988,Swimming,Swimming Men's 100 metres Freestyle,Gold
USA,USA,1988,Swimming,Swimming Men's 200 metres Freestyle,Bronze
USA,USA,1988,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
USA,USA,1988,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
USA,USA,1988,Swimming,Swimming Men's 100 metres Butterfly,Silver
USA,USA,1992,Swimming,Swimming Men's 50 metres Freestyle,Silver
USA,USA,1992,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Serbia,SRB,2016,Basketball,Basketball Men's Basketball,Silver
Denmark,DEN,1968,Sailing,Sailing Mixed Three Person Keelboat,Silver
New Zealand,NZL,1988,Rowing,Rowing Men's Coxed Fours,Bronze
USA,USA,2004,Basketball,Basketball Women's Basketball,Gold
Australia,AUS,2016,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Kenya,KEN,1992,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
Denmark,DEN,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
Poland,POL,1928,Rowing,Rowing Men's Coxed Fours,Bronze
Romania,ROU,1980,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
Romania,ROU,1972,Handball,Handball Men's Handball,Bronze
Romania,ROU,1976,Handball,Handball Men's Handball,Silver
Romania,ROU,1980,Handball,Handball Men's Handball,Bronze
Russia,RUS,2016,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Germany,GDR,1976,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Germany,GDR,1980,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Germany,GER,2008,Judo,Judo Men's Half-Middleweight,Gold
Germany,GER,2012,Judo,Judo Men's Half-Middleweight,Silver
Germany,GER,1936,Sailing,Sailing Mixed 8 metres,Bronze
Germany,GER,1936,Sailing,Sailing Mixed Two Person Keelboat,Gold
Germany,FRG,1984,Fencing,"Fencing Women's Foil, Team",Gold
Germany,GER,2000,Fencing,"Fencing Men's Foil, Individual",Silver
Denmark,DEN,1912,Rowing,"Rowing Men's Coxed Fours, Outriggers",Bronze
UK,GBR,2004,Rowing,Rowing Women's Coxless Pairs,Silver
Italy,ITA,1996,Archery,Archery Men's Team,Bronze
Italy,ITA,2000,Archery,Archery Men's Team,Silver
UK,GBR,2012,Sailing,Sailing Men's Two Person Dinghy,Silver
Kenya,KEN,1992,Athletics,"Athletics Men's 5,000 metres",Silver
Kenya,KEN,1996,Athletics,"Athletics Men's 5,000 metres",Silver
Germany,GER,1960,Rowing,Rowing Men's Coxed Eights,Gold
Kenya,KEN,1968,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
USA,USA,1932,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Serbia,YUG,1968,Swimming,Swimming Women's 100 metres Breaststroke,Gold
Serbia,YUG,1968,Swimming,Swimming Women's 200 metres Breaststroke,Silver
Denmark,DEN,1920,Hockey,Hockey Men's Hockey,Silver
Sweden,SWE,1912,Cycling,"Cycling Men's Road Race, Team",Gold
Sweden,SWE,1912,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
Sweden,SWE,1912,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Bronze
Finland,FIN,1912,Sailing,Sailing Mixed 10 metres,Silver
Brazil,BRA,1980,Sailing,Sailing Mixed Multihull,Gold
Finland,FIN,1972,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze
Sweden,SWE,1928,Equestrianism,"Equestrianism Men's Jumping, Team",Bronze
Sweden,SWE,1924,Cycling,"Cycling Men's Road Race, Team",Bronze
Norway,NOR,1912,Tennis,Tennis Women's Singles,Bronze
Norway,NOR,1988,Rowing,Rowing Men's Quadruple Sculls,Silver
Norway,NOR,1992,Rowing,Rowing Men's Quadruple Sculls,Silver
Norway,NOR,1988,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
Norway,NOR,1912,Rowing,"Rowing Men's Coxed Fours, Inriggers",Bronze
Canada,CAN,1924,Rowing,Rowing Men's Coxless Fours,Silver
USA,USA,1928,Athletics,Athletics Men's Hammer Throw,Bronze
USA,USA,1972,Athletics,Athletics Men's 200 metres,Silver
USA,USA,1972,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Australia,AUS,1964,Athletics,Athletics Women's 200 metres,Bronze
UK,GBR,1996,Athletics,Athletics Men's 400 metres,Silver
USA,USA,2004,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
UK,GBR,1956,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
Australia,AUS,2000,Sailing,Sailing Mixed One Person Dinghy,Bronze
UK,GBR,1908,Rowing,Rowing Men's Single Sculls,Gold
Belgium,BEL,1920,Art Competitions,Art Competitions Mixed Literature,Bronze
Sweden,SWE,1936,Canoeing,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Gold
Russia,URS,1980,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold
Bulgaria,BUL,1980,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
Bulgaria,BUL,1972,Athletics,Athletics Women's High Jump,Silver
Bulgaria,BUL,1976,Athletics,Athletics Women's High Jump,Bronze
USA,USA,1932,Rowing,Rowing Men's Coxed Eights,Gold
USA,USA,1932,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",Gold
USA,USA,1956,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
Netherlands,NED,1964,Rowing,Rowing Men's Coxless Pairs,Silver
USA,USA,1896,Athletics,"Athletics Men's 1,500 metres",Silver
Jamaica,JAM,1996,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Jamaica,JAM,2012,Athletics,Athletics Men's 100 metres,Silver
Jamaica,JAM,2012,Athletics,Athletics Men's 200 metres,Silver
Canada,CAN,1904,Lacrosse,Lacrosse Men's Lacrosse,Gold
Italy,ITA,2004,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Italy,ITA,2012,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
France,FRA,1924,Cycling,"Cycling Men's Road Race, Individual",Gold
France,FRA,1924,Cycling,"Cycling Men's Road Race, Team",Gold
France,FRA,1900,Sailing,Sailing Mixed 2-3 Ton,Gold
Cuba,CUB,1980,Weightlifting,Weightlifting Men's Heavyweight I,Bronze
USA,USA,1936,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Netherlands,NED,1996,Volleyball,Volleyball Men's Volleyball,Gold
Poland,POL,2000,Gymnastics,Gymnastics Men's Horse Vault,Bronze
Poland,POL,2008,Gymnastics,Gymnastics Men's Horse Vault,Gold
Netherlands,NED,1948,Athletics,Athletics Women's 100 metres,Gold
Netherlands,NED,1948,Athletics,Athletics Women's 200 metres,Gold
Netherlands,NED,1948,Athletics,Athletics Women's 80 metres Hurdles,Gold
Netherlands,NED,1948,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
USA,USA,2000,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
Germany,GER,2000,Rowing,Rowing Women's Lightweight Double Sculls,Silver
Germany,GER,2004,Rowing,Rowing Women's Lightweight Double Sculls,Silver
Spain,ESP,1992,Judo,Judo Women's Lightweight,Gold
Germany,GER,1936,Athletics,Athletics Men's Hammer Throw,Silver
USA,USA,1984,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
Switzerland,SUI,2000,Cycling,"Cycling Women's Mountainbike, Cross-Country",Silver
Denmark,DEN,1976,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
Russia,RUS,1912,Shooting,Shooting Men's Trap,Bronze
Ghana,GHA,1964,Boxing,Boxing Men's Light-Welterweight,Bronze
Czech Republic,TCH,1980,Hockey,Hockey Women's Hockey,Silver
Trinidad,TTO,2012,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
USA,USA,1920,Swimming,Swimming Women's 100 metres Freestyle,Gold
USA,USA,1920,Swimming,Swimming Women's 300 metres Freestyle,Gold
USA,USA,1920,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
USA,USA,1928,Rowing,Rowing Men's Coxed Eights,Gold
UK,GBR,1920,Athletics,"Athletics Men's 3,000 metres, Team",Silver
USA,USA,1960,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Germany,GDR,1988,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
USA,USA,2000,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
Russia,RUS,2004,Shooting,"Shooting Men's Running Target, 10 metres",Silver
Russia,URS,1980,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
Russia,URS,1980,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Belgium,BEL,1920,Swimming,Swimming Men's 100 metres Backstroke,Bronze
Belgium,BEL,1924,Water Polo,Water Polo Men's Water Polo,Silver
Belgium,BEL,1936,Water Polo,Water Polo Men's Water Polo,Bronze
Uruguay,URU,1956,Basketball,Basketball Men's Basketball,Bronze
Russia,RUS,2016,Handball,Handball Women's Handball,Gold
Russia,RUS,2012,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Germany,FRG,1988,Hockey,Hockey Men's Hockey,Silver
Germany,GDR,1988,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Germany,GER,1992,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
Switzerland,SUI,1936,Handball,Handball Men's Handball,Bronze
Sweden,SWE,1936,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Bronze
Sweden,SWE,1912,Diving,Diving Men's Platform,Bronze
Sweden,SWE,1920,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Bronze
France,FRA,1952,Rowing,Rowing Men's Coxless Fours,Silver
UK,GBR,1908,Shooting,"Shooting Men's Free Rifle, 1,000 Yards",Bronze
USA,USA,1960,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
Germany,GER,1992,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
Germany,GER,1992,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
Germany,GER,1996,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
